================================================== stage: s1-init ==================================================
---------------------------------- mission: M613E260F56, driver: driver1 ----------------------------------
2024-03-06 16:39:47,004 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/M613E260F56.log
2024-03-06 16:39:47,219 [INFO] [NoneStorage] - performing PUT at /756NM2
2024-03-06 16:39:47,221 [INFO] [NoneStorage] - performing PUT at /756NM13
2024-03-06 16:39:47,221 [INFO] [NoneStorage] - performing PUT at /756NM12
2024-03-06 16:39:47,221 [INFO] [NoneStorage] - performing PUT at /756NM10
2024-03-06 16:39:47,221 [INFO] [NoneStorage] - performing PUT at /756NM11
2024-03-06 16:39:47,221 [INFO] [NoneStorage] - performing PUT at /756NM8
2024-03-06 16:39:47,221 [INFO] [NoneStorage] - performing PUT at /756NM9
2024-03-06 16:39:47,221 [INFO] [NoneStorage] - performing PUT at /756NM6
2024-03-06 16:39:47,221 [INFO] [NoneStorage] - performing PUT at /756NM7
2024-03-06 16:39:47,220 [INFO] [NoneStorage] - performing PUT at /756NM3
2024-03-06 16:39:47,221 [INFO] [NoneStorage] - performing PUT at /756NM5
2024-03-06 16:39:47,220 [INFO] [NoneStorage] - performing PUT at /756NM4
2024-03-06 16:39:47,219 [INFO] [NoneStorage] - performing PUT at /756NM1
================================================== stage: s2-main ==================================================
---------------------------------- mission: M313E27D5DC, driver: driver1 ----------------------------------
2024-03-06 16:39:54,005 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/M313E27D5DC.log
2024-03-06 16:39:54,219 [INFO] [NoneStorage] - performing PUT at /756NM1/myobjects1
2024-03-06 16:39:54,222 [INFO] [NoneStorage] - performing PUT at /756NM8/myobjects8
2024-03-06 16:39:54,222 [INFO] [NoneStorage] - performing PUT at /756NM7/myobjects7
2024-03-06 16:39:54,220 [INFO] [NoneStorage] - performing PUT at /756NM5/myobjects5
2024-03-06 16:39:54,220 [INFO] [NoneStorage] - performing PUT at /756NM6/myobjects6
2024-03-06 16:39:54,220 [INFO] [NoneStorage] - performing PUT at /756NM2/myobjects2
2024-03-06 16:39:54,220 [INFO] [NoneStorage] - performing PUT at /756NM3/myobjects3
2024-03-06 16:39:54,220 [INFO] [NoneStorage] - performing PUT at /756NM4/myobjects4
2024-03-06 16:39:54,529 [INFO] [NoneStorage] - performing PUT at /756NM9/myobjects9
2024-03-06 16:39:54,562 [INFO] [NoneStorage] - performing PUT at /756NM10/myobjects10
2024-03-06 16:39:54,574 [INFO] [NoneStorage] - performing PUT at /756NM11/myobjects11
2024-03-06 16:39:54,593 [INFO] [NoneStorage] - performing PUT at /756NM12/myobjects12
2024-03-06 16:39:54,596 [INFO] [NoneStorage] - performing PUT at /756NM13/myobjects13
2024-03-06 16:39:54,655 [INFO] [NoneStorage] - performing PUT at /756NM1/myobjects14
2024-03-06 16:39:54,656 [INFO] [NoneStorage] - performing PUT at /756NM2/myobjects15
2024-03-06 16:39:54,659 [INFO] [NoneStorage] - performing PUT at /756NM3/myobjects16
2024-03-06 16:39:54,896 [INFO] [NoneStorage] - performing PUT at /756NM4/myobjects17
2024-03-06 16:39:54,900 [INFO] [NoneStorage] - performing PUT at /756NM5/myobjects18
2024-03-06 16:39:54,938 [INFO] [NoneStorage] - performing PUT at /756NM6/myobjects19
2024-03-06 16:39:54,972 [INFO] [NoneStorage] - performing PUT at /756NM7/myobjects20
2024-03-06 16:39:54,996 [INFO] [NoneStorage] - performing PUT at /756NM8/myobjects21
2024-03-06 16:39:54,997 [INFO] [NoneStorage] - performing PUT at /756NM9/myobjects22
2024-03-06 16:39:55,067 [INFO] [NoneStorage] - performing PUT at /756NM10/myobjects23
2024-03-06 16:39:55,069 [INFO] [NoneStorage] - performing PUT at /756NM11/myobjects24
2024-03-06 16:39:55,321 [INFO] [NoneStorage] - performing PUT at /756NM12/myobjects25
2024-03-06 16:39:55,321 [INFO] [NoneStorage] - performing PUT at /756NM13/myobjects26
2024-03-06 16:39:55,327 [INFO] [NoneStorage] - performing PUT at /756NM1/myobjects27
2024-03-06 16:39:55,339 [INFO] [NoneStorage] - performing PUT at /756NM2/myobjects28
2024-03-06 16:39:55,349 [INFO] [NoneStorage] - performing PUT at /756NM3/myobjects29
2024-03-06 16:39:55,361 [INFO] [NoneStorage] - performing PUT at /756NM4/myobjects30
2024-03-06 16:39:55,377 [INFO] [NoneStorage] - performing PUT at /756NM5/myobjects31
2024-03-06 16:39:55,491 [INFO] [NoneStorage] - performing PUT at /756NM6/myobjects32
2024-03-06 16:39:55,582 [INFO] [NoneStorage] - performing PUT at /756NM7/myobjects33
2024-03-06 16:39:55,608 [INFO] [NoneStorage] - performing PUT at /756NM8/myobjects34
2024-03-06 16:39:55,695 [INFO] [NoneStorage] - performing PUT at /756NM9/myobjects35
2024-03-06 16:39:55,697 [INFO] [NoneStorage] - performing PUT at /756NM10/myobjects36
2024-03-06 16:39:55,721 [INFO] [NoneStorage] - performing PUT at /756NM11/myobjects37
2024-03-06 16:39:55,758 [INFO] [NoneStorage] - performing PUT at /756NM12/myobjects38
2024-03-06 16:39:55,760 [INFO] [NoneStorage] - performing PUT at /756NM13/myobjects39
2024-03-06 16:39:55,830 [INFO] [NoneStorage] - performing PUT at /756NM1/myobjects40
2024-03-06 16:39:55,899 [INFO] [NoneStorage] - performing PUT at /756NM2/myobjects41
2024-03-06 16:39:55,946 [INFO] [NoneStorage] - performing PUT at /756NM3/myobjects42
2024-03-06 16:39:56,019 [INFO] [NoneStorage] - performing PUT at /756NM4/myobjects43
2024-03-06 16:39:56,019 [INFO] [NoneStorage] - performing PUT at /756NM5/myobjects44
2024-03-06 16:39:56,134 [INFO] [NoneStorage] - performing PUT at /756NM6/myobjects45
2024-03-06 16:39:56,236 [INFO] [NoneStorage] - performing PUT at /756NM7/myobjects46
2024-03-06 16:39:56,238 [INFO] [NoneStorage] - performing PUT at /756NM8/myobjects47
2024-03-06 16:39:56,246 [INFO] [NoneStorage] - performing PUT at /756NM9/myobjects48
2024-03-06 16:39:56,286 [INFO] [NoneStorage] - performing PUT at /756NM10/myobjects49
2024-03-06 16:39:56,287 [INFO] [NoneStorage] - performing PUT at /756NM11/myobjects50
2024-03-06 16:39:56,291 [INFO] [NoneStorage] - performing PUT at /756NM12/myobjects51
2024-03-06 16:39:56,450 [INFO] [NoneStorage] - performing PUT at /756NM13/myobjects52
2024-03-06 16:39:56,508 [INFO] [NoneStorage] - performing PUT at /756NM1/myobjects53
2024-03-06 16:39:56,509 [INFO] [NoneStorage] - performing PUT at /756NM2/myobjects54
2024-03-06 16:39:56,509 [INFO] [NoneStorage] - performing PUT at /756NM3/myobjects55
2024-03-06 16:39:56,553 [INFO] [NoneStorage] - performing PUT at /756NM4/myobjects56
2024-03-06 16:39:56,604 [INFO] [NoneStorage] - performing PUT at /756NM5/myobjects57
2024-03-06 16:39:56,604 [INFO] [NoneStorage] - performing PUT at /756NM6/myobjects58
2024-03-06 16:39:56,606 [INFO] [NoneStorage] - performing PUT at /756NM7/myobjects59
2024-03-06 16:39:56,764 [INFO] [NoneStorage] - performing PUT at /756NM8/myobjects60
2024-03-06 16:39:56,815 [INFO] [NoneStorage] - performing PUT at /756NM9/myobjects61
2024-03-06 16:39:56,816 [INFO] [NoneStorage] - performing PUT at /756NM10/myobjects62
2024-03-06 16:39:56,821 [INFO] [NoneStorage] - performing PUT at /756NM11/myobjects63
2024-03-06 16:39:56,866 [INFO] [NoneStorage] - performing PUT at /756NM12/myobjects64
2024-03-06 16:39:56,892 [INFO] [NoneStorage] - performing PUT at /756NM13/myobjects65
2024-03-06 16:39:56,932 [INFO] [NoneStorage] - performing PUT at /756NM1/myobjects66
2024-03-06 16:39:57,045 [INFO] [NoneStorage] - performing PUT at /756NM2/myobjects67
2024-03-06 16:39:57,101 [INFO] [NoneStorage] - performing PUT at /756NM3/myobjects68
2024-03-06 16:39:57,102 [INFO] [NoneStorage] - performing PUT at /756NM4/myobjects69
2024-03-06 16:39:57,113 [INFO] [NoneStorage] - performing PUT at /756NM5/myobjects70
2024-03-06 16:39:57,171 [INFO] [NoneStorage] - performing PUT at /756NM6/myobjects71
2024-03-06 16:39:57,254 [INFO] [NoneStorage] - performing PUT at /756NM7/myobjects72
2024-03-06 16:39:57,414 [INFO] [NoneStorage] - performing PUT at /756NM8/myobjects73
2024-03-06 16:39:57,415 [INFO] [NoneStorage] - performing PUT at /756NM9/myobjects74
