================================================== stage: s1-init ==================================================
---------------------------------- mission: M61405573D5, driver: driver1 ----------------------------------
2024-03-06 17:17:58,005 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/M61405573D5.log
2024-03-06 17:17:58,219 [INFO] [NoneStorage] - performing PUT at /IL4SY1
2024-03-06 17:17:58,221 [INFO] [NoneStorage] - performing PUT at /IL4SY7
2024-03-06 17:17:58,222 [INFO] [NoneStorage] - performing PUT at /IL4SY12
2024-03-06 17:17:58,221 [INFO] [NoneStorage] - performing PUT at /IL4SY6
2024-03-06 17:17:58,221 [INFO] [NoneStorage] - performing PUT at /IL4SY5
2024-03-06 17:17:58,221 [INFO] [NoneStorage] - performing PUT at /IL4SY4
2024-03-06 17:17:58,221 [INFO] [NoneStorage] - performing PUT at /IL4SY3
2024-03-06 17:17:58,219 [INFO] [NoneStorage] - performing PUT at /IL4SY2
2024-03-06 17:17:58,222 [INFO] [NoneStorage] - performing PUT at /IL4SY13
2024-03-06 17:17:58,222 [INFO] [NoneStorage] - performing PUT at /IL4SY11
2024-03-06 17:17:58,222 [INFO] [NoneStorage] - performing PUT at /IL4SY10
2024-03-06 17:17:58,222 [INFO] [NoneStorage] - performing PUT at /IL4SY9
2024-03-06 17:17:58,222 [INFO] [NoneStorage] - performing PUT at /IL4SY8
================================================== stage: s2-main ==================================================
---------------------------------- mission: MD14057385C, driver: driver1 ----------------------------------
2024-03-06 17:18:05,007 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/MD14057385C.log
2024-03-06 17:18:05,220 [INFO] [NoneStorage] - performing PUT at /IL4SY1/myobjects1
2024-03-06 17:18:05,222 [INFO] [NoneStorage] - performing PUT at /IL4SY3/myobjects3
2024-03-06 17:18:05,223 [INFO] [NoneStorage] - performing PUT at /IL4SY6/myobjects6
2024-03-06 17:18:05,222 [INFO] [NoneStorage] - performing PUT at /IL4SY4/myobjects4
2024-03-06 17:18:05,223 [INFO] [NoneStorage] - performing PUT at /IL4SY7/myobjects7
2024-03-06 17:18:05,223 [INFO] [NoneStorage] - performing PUT at /IL4SY8/myobjects8
2024-03-06 17:18:05,223 [INFO] [NoneStorage] - performing PUT at /IL4SY5/myobjects5
2024-03-06 17:18:05,222 [INFO] [NoneStorage] - performing PUT at /IL4SY2/myobjects2
2024-03-06 17:18:05,641 [INFO] [NoneStorage] - performing PUT at /IL4SY9/myobjects9
2024-03-06 17:18:05,654 [INFO] [NoneStorage] - performing PUT at /IL4SY10/myobjects10
2024-03-06 17:18:05,724 [INFO] [NoneStorage] - performing PUT at /IL4SY11/myobjects11
2024-03-06 17:18:05,749 [INFO] [NoneStorage] - performing PUT at /IL4SY12/myobjects12
2024-03-06 17:18:05,802 [INFO] [NoneStorage] - performing PUT at /IL4SY13/myobjects13
2024-03-06 17:18:05,803 [INFO] [NoneStorage] - performing PUT at /IL4SY1/myobjects14
2024-03-06 17:18:05,857 [INFO] [NoneStorage] - performing PUT at /IL4SY2/myobjects15
2024-03-06 17:18:05,883 [INFO] [NoneStorage] - performing PUT at /IL4SY3/myobjects16
2024-03-06 17:18:06,159 [INFO] [NoneStorage] - performing PUT at /IL4SY4/myobjects17
2024-03-06 17:18:06,162 [INFO] [NoneStorage] - performing PUT at /IL4SY5/myobjects18
2024-03-06 17:18:06,220 [INFO] [NoneStorage] - performing PUT at /IL4SY6/myobjects19
2024-03-06 17:18:06,222 [INFO] [NoneStorage] - performing PUT at /IL4SY7/myobjects20
2024-03-06 17:18:06,223 [INFO] [NoneStorage] - performing PUT at /IL4SY8/myobjects21
2024-03-06 17:18:06,233 [INFO] [NoneStorage] - performing PUT at /IL4SY9/myobjects22
2024-03-06 17:18:06,359 [INFO] [NoneStorage] - performing PUT at /IL4SY10/myobjects23
2024-03-06 17:18:06,359 [INFO] [NoneStorage] - performing PUT at /IL4SY11/myobjects24
2024-03-06 17:18:06,585 [INFO] [NoneStorage] - performing PUT at /IL4SY12/myobjects25
2024-03-06 17:18:06,585 [INFO] [NoneStorage] - performing PUT at /IL4SY13/myobjects26
2024-03-06 17:18:06,587 [INFO] [NoneStorage] - performing PUT at /IL4SY1/myobjects27
2024-03-06 17:18:06,668 [INFO] [NoneStorage] - performing PUT at /IL4SY2/myobjects28
2024-03-06 17:18:06,670 [INFO] [NoneStorage] - performing PUT at /IL4SY3/myobjects29
2024-03-06 17:18:06,719 [INFO] [NoneStorage] - performing PUT at /IL4SY4/myobjects30
2024-03-06 17:18:06,722 [INFO] [NoneStorage] - performing PUT at /IL4SY5/myobjects31
2024-03-06 17:18:06,847 [INFO] [NoneStorage] - performing PUT at /IL4SY6/myobjects32
2024-03-06 17:18:06,908 [INFO] [NoneStorage] - performing PUT at /IL4SY7/myobjects33
2024-03-06 17:18:06,950 [INFO] [NoneStorage] - performing PUT at /IL4SY8/myobjects34
2024-03-06 17:18:06,951 [INFO] [NoneStorage] - performing PUT at /IL4SY9/myobjects35
2024-03-06 17:18:06,960 [INFO] [NoneStorage] - performing PUT at /IL4SY10/myobjects36
2024-03-06 17:18:07,067 [INFO] [NoneStorage] - performing PUT at /IL4SY11/myobjects37
2024-03-06 17:18:07,114 [INFO] [NoneStorage] - performing PUT at /IL4SY12/myobjects38
2024-03-06 17:18:07,118 [INFO] [NoneStorage] - performing PUT at /IL4SY13/myobjects39
2024-03-06 17:18:07,254 [INFO] [NoneStorage] - performing PUT at /IL4SY1/myobjects40
2024-03-06 17:18:07,369 [INFO] [NoneStorage] - performing PUT at /IL4SY2/myobjects41
2024-03-06 17:18:07,504 [INFO] [NoneStorage] - performing PUT at /IL4SY3/myobjects42
2024-03-06 17:18:07,578 [INFO] [NoneStorage] - performing PUT at /IL4SY4/myobjects43
