================================================== stage: s1-init ==================================================
---------------------------------- mission: MD236ACFDC4, driver: driver1 ----------------------------------
2024-03-09 17:03:06,004 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/MD236ACFDC4.log
2024-03-09 17:03:06,217 [INFO] [NoneStorage] - performing PUT at /RCO3Z1
2024-03-09 17:03:06,220 [INFO] [NoneStorage] - performing PUT at /RCO3Z10
2024-03-09 17:03:06,220 [INFO] [NoneStorage] - performing PUT at /RCO3Z13
2024-03-09 17:03:06,220 [INFO] [NoneStorage] - performing PUT at /RCO3Z12
2024-03-09 17:03:06,220 [INFO] [NoneStorage] - performing PUT at /RCO3Z11
2024-03-09 17:03:06,219 [INFO] [NoneStorage] - performing PUT at /RCO3Z8
2024-03-09 17:03:06,219 [INFO] [NoneStorage] - performing PUT at /RCO3Z9
2024-03-09 17:03:06,219 [INFO] [NoneStorage] - performing PUT at /RCO3Z7
2024-03-09 17:03:06,219 [INFO] [NoneStorage] - performing PUT at /RCO3Z6
2024-03-09 17:03:06,219 [INFO] [NoneStorage] - performing PUT at /RCO3Z5
2024-03-09 17:03:06,218 [INFO] [NoneStorage] - performing PUT at /RCO3Z4
2024-03-09 17:03:06,217 [INFO] [NoneStorage] - performing PUT at /RCO3Z2
2024-03-09 17:03:06,217 [INFO] [NoneStorage] - performing PUT at /RCO3Z3
================================================== stage: s2-main ==================================================
---------------------------------- mission: MF236AE8251, driver: driver1 ----------------------------------
2024-03-09 17:03:13,005 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/MF236AE8251.log
2024-03-09 17:03:13,216 [INFO] [NoneStorage] - performing PUT at /RCO3Z1/myobjects1
2024-03-09 17:03:13,219 [INFO] [NoneStorage] - performing PUT at /RCO3Z7/myobjects7
2024-03-09 17:03:13,218 [INFO] [NoneStorage] - performing PUT at /RCO3Z6/myobjects6
2024-03-09 17:03:13,218 [INFO] [NoneStorage] - performing PUT at /RCO3Z8/myobjects8
2024-03-09 17:03:13,217 [INFO] [NoneStorage] - performing PUT at /RCO3Z5/myobjects5
2024-03-09 17:03:13,217 [INFO] [NoneStorage] - performing PUT at /RCO3Z3/myobjects3
2024-03-09 17:03:13,217 [INFO] [NoneStorage] - performing PUT at /RCO3Z4/myobjects4
2024-03-09 17:03:13,217 [INFO] [NoneStorage] - performing PUT at /RCO3Z2/myobjects2
2024-03-09 17:03:13,518 [INFO] [NoneStorage] - performing PUT at /RCO3Z9/myobjects9
2024-03-09 17:03:13,518 [INFO] [NoneStorage] - performing PUT at /RCO3Z10/myobjects10
2024-03-09 17:03:13,551 [INFO] [NoneStorage] - performing PUT at /RCO3Z11/myobjects11
2024-03-09 17:03:13,563 [INFO] [NoneStorage] - performing PUT at /RCO3Z12/myobjects12
2024-03-09 17:03:13,563 [INFO] [NoneStorage] - performing PUT at /RCO3Z13/myobjects13
2024-03-09 17:03:13,567 [INFO] [NoneStorage] - performing PUT at /RCO3Z1/myobjects14
2024-03-09 17:03:13,658 [INFO] [NoneStorage] - performing PUT at /RCO3Z2/myobjects15
2024-03-09 17:03:13,661 [INFO] [NoneStorage] - performing PUT at /RCO3Z3/myobjects16
2024-03-09 17:03:13,815 [INFO] [NoneStorage] - performing PUT at /RCO3Z4/myobjects17
2024-03-09 17:03:13,846 [INFO] [NoneStorage] - performing PUT at /RCO3Z5/myobjects18
2024-03-09 17:03:13,878 [INFO] [NoneStorage] - performing PUT at /RCO3Z6/myobjects19
2024-03-09 17:03:13,955 [INFO] [NoneStorage] - performing PUT at /RCO3Z7/myobjects20
2024-03-09 17:03:13,960 [INFO] [NoneStorage] - performing PUT at /RCO3Z8/myobjects21
2024-03-09 17:03:13,981 [INFO] [NoneStorage] - performing PUT at /RCO3Z9/myobjects22
2024-03-09 17:03:14,003 [INFO] [NoneStorage] - performing PUT at /RCO3Z10/myobjects23
2024-03-09 17:03:14,058 [INFO] [NoneStorage] - performing PUT at /RCO3Z11/myobjects24
2024-03-09 17:03:14,141 [INFO] [NoneStorage] - performing PUT at /RCO3Z12/myobjects25
2024-03-09 17:03:14,165 [INFO] [NoneStorage] - performing PUT at /RCO3Z13/myobjects26
2024-03-09 17:03:14,203 [INFO] [NoneStorage] - performing PUT at /RCO3Z1/myobjects27
2024-03-09 17:03:14,261 [INFO] [NoneStorage] - performing PUT at /RCO3Z2/myobjects28
2024-03-09 17:03:14,344 [INFO] [NoneStorage] - performing PUT at /RCO3Z3/myobjects29
2024-03-09 17:03:14,434 [INFO] [NoneStorage] - performing PUT at /RCO3Z4/myobjects30
2024-03-09 17:03:14,436 [INFO] [NoneStorage] - performing PUT at /RCO3Z5/myobjects31
2024-03-09 17:03:14,470 [INFO] [NoneStorage] - performing PUT at /RCO3Z6/myobjects32
2024-03-09 17:03:14,481 [INFO] [NoneStorage] - performing PUT at /RCO3Z7/myobjects33
2024-03-09 17:03:14,528 [INFO] [NoneStorage] - performing PUT at /RCO3Z8/myobjects34
2024-03-09 17:03:14,688 [INFO] [NoneStorage] - performing PUT at /RCO3Z9/myobjects35
2024-03-09 17:03:14,689 [INFO] [NoneStorage] - performing PUT at /RCO3Z10/myobjects36
2024-03-09 17:03:14,728 [INFO] [NoneStorage] - performing PUT at /RCO3Z11/myobjects37
2024-03-09 17:03:14,730 [INFO] [NoneStorage] - performing PUT at /RCO3Z12/myobjects38
2024-03-09 17:03:14,749 [INFO] [NoneStorage] - performing PUT at /RCO3Z13/myobjects39
2024-03-09 17:03:14,823 [INFO] [NoneStorage] - performing PUT at /RCO3Z1/myobjects40
2024-03-09 17:03:14,891 [INFO] [NoneStorage] - performing PUT at /RCO3Z2/myobjects41
2024-03-09 17:03:14,972 [INFO] [NoneStorage] - performing PUT at /RCO3Z3/myobjects42
2024-03-09 17:03:15,015 [INFO] [NoneStorage] - performing PUT at /RCO3Z4/myobjects43
2024-03-09 17:03:15,082 [INFO] [NoneStorage] - performing PUT at /RCO3Z5/myobjects44
2024-03-09 17:03:15,083 [INFO] [NoneStorage] - performing PUT at /RCO3Z6/myobjects45
2024-03-09 17:03:15,134 [INFO] [NoneStorage] - performing PUT at /RCO3Z7/myobjects46
2024-03-09 17:03:15,134 [INFO] [NoneStorage] - performing PUT at /RCO3Z8/myobjects47
2024-03-09 17:03:15,137 [INFO] [NoneStorage] - performing PUT at /RCO3Z9/myobjects48
2024-03-09 17:03:15,402 [INFO] [NoneStorage] - performing PUT at /RCO3Z10/myobjects49
2024-03-09 17:03:15,404 [INFO] [NoneStorage] - performing PUT at /RCO3Z11/myobjects50
2024-03-09 17:03:15,437 [INFO] [NoneStorage] - performing PUT at /RCO3Z12/myobjects51
2024-03-09 17:03:15,474 [INFO] [NoneStorage] - performing PUT at /RCO3Z13/myobjects52
2024-03-09 17:03:15,509 [INFO] [NoneStorage] - performing PUT at /RCO3Z1/myobjects53
2024-03-09 17:03:15,686 [INFO] [NoneStorage] - performing PUT at /RCO3Z2/myobjects54
2024-03-09 17:03:15,750 [INFO] [NoneStorage] - performing PUT at /RCO3Z3/myobjects55
2024-03-09 17:03:15,751 [INFO] [NoneStorage] - performing PUT at /RCO3Z4/myobjects56
2024-03-09 17:03:15,821 [INFO] [NoneStorage] - performing PUT at /RCO3Z5/myobjects57
2024-03-09 17:03:15,913 [INFO] [NoneStorage] - performing PUT at /RCO3Z6/myobjects58
2024-03-09 17:03:15,948 [INFO] [NoneStorage] - performing PUT at /RCO3Z7/myobjects59
2024-03-09 17:03:15,961 [INFO] [NoneStorage] - performing PUT at /RCO3Z8/myobjects60
2024-03-09 17:03:16,062 [INFO] [NoneStorage] - performing PUT at /RCO3Z9/myobjects61
2024-03-09 17:03:16,327 [INFO] [NoneStorage] - performing PUT at /RCO3Z10/myobjects62
2024-03-09 17:03:16,331 [INFO] [NoneStorage] - performing PUT at /RCO3Z11/myobjects63
2024-03-09 17:03:16,548 [INFO] [NoneStorage] - performing PUT at /RCO3Z12/myobjects64
2024-03-09 17:03:16,548 [INFO] [NoneStorage] - performing PUT at /RCO3Z13/myobjects65
2024-03-09 17:03:16,573 [INFO] [NoneStorage] - performing PUT at /RCO3Z1/myobjects66
