================================================== stage: s1-init ==================================================
---------------------------------- mission: MB13E95F056, driver: driver1 ----------------------------------
2024-03-06 16:47:25,005 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/MB13E95F056.log
2024-03-06 16:47:25,221 [INFO] [NoneStorage] - performing PUT at /40Q9F2
2024-03-06 16:47:25,223 [INFO] [NoneStorage] - performing PUT at /40Q9F12
2024-03-06 16:47:25,224 [INFO] [NoneStorage] - performing PUT at /40Q9F13
2024-03-06 16:47:25,223 [INFO] [NoneStorage] - performing PUT at /40Q9F11
2024-03-06 16:47:25,223 [INFO] [NoneStorage] - performing PUT at /40Q9F9
2024-03-06 16:47:25,222 [INFO] [NoneStorage] - performing PUT at /40Q9F7
2024-03-06 16:47:25,222 [INFO] [NoneStorage] - performing PUT at /40Q9F8
2024-03-06 16:47:25,221 [INFO] [NoneStorage] - performing PUT at /40Q9F4
2024-03-06 16:47:25,221 [INFO] [NoneStorage] - performing PUT at /40Q9F1
2024-03-06 16:47:25,222 [INFO] [NoneStorage] - performing PUT at /40Q9F6
2024-03-06 16:47:25,221 [INFO] [NoneStorage] - performing PUT at /40Q9F3
2024-03-06 16:47:25,221 [INFO] [NoneStorage] - performing PUT at /40Q9F5
2024-03-06 16:47:25,224 [INFO] [NoneStorage] - performing PUT at /40Q9F10
================================================== stage: s2-main ==================================================
---------------------------------- mission: M313E9786C7, driver: driver1 ----------------------------------
2024-03-06 16:47:32,004 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/M313E9786C7.log
2024-03-06 16:47:32,219 [INFO] [NoneStorage] - performing PUT at /40Q9F1/myobjects1
2024-03-06 16:47:32,222 [INFO] [NoneStorage] - performing PUT at /40Q9F4/myobjects4
2024-03-06 16:47:32,224 [INFO] [NoneStorage] - performing PUT at /40Q9F6/myobjects6
2024-03-06 16:47:32,222 [INFO] [NoneStorage] - performing PUT at /40Q9F5/myobjects5
2024-03-06 16:47:32,222 [INFO] [NoneStorage] - performing PUT at /40Q9F2/myobjects2
2024-03-06 16:47:32,222 [INFO] [NoneStorage] - performing PUT at /40Q9F3/myobjects3
2024-03-06 16:47:32,224 [INFO] [NoneStorage] - performing PUT at /40Q9F8/myobjects8
2024-03-06 16:47:32,224 [INFO] [NoneStorage] - performing PUT at /40Q9F7/myobjects7
2024-03-06 16:47:32,555 [INFO] [NoneStorage] - performing PUT at /40Q9F9/myobjects9
2024-03-06 16:47:32,556 [INFO] [NoneStorage] - performing PUT at /40Q9F10/myobjects10
2024-03-06 16:47:32,556 [INFO] [NoneStorage] - performing PUT at /40Q9F11/myobjects11
2024-03-06 16:47:32,583 [INFO] [NoneStorage] - performing PUT at /40Q9F12/myobjects12
2024-03-06 16:47:32,583 [INFO] [NoneStorage] - performing PUT at /40Q9F13/myobjects13
2024-03-06 16:47:32,610 [INFO] [NoneStorage] - performing PUT at /40Q9F1/myobjects14
2024-03-06 16:47:32,635 [INFO] [NoneStorage] - performing PUT at /40Q9F2/myobjects15
2024-03-06 16:47:32,639 [INFO] [NoneStorage] - performing PUT at /40Q9F3/myobjects16
2024-03-06 16:47:32,853 [INFO] [NoneStorage] - performing PUT at /40Q9F4/myobjects17
2024-03-06 16:47:32,896 [INFO] [NoneStorage] - performing PUT at /40Q9F5/myobjects18
2024-03-06 16:47:32,920 [INFO] [NoneStorage] - performing PUT at /40Q9F6/myobjects19
2024-03-06 16:47:32,992 [INFO] [NoneStorage] - performing PUT at /40Q9F7/myobjects20
2024-03-06 16:47:33,001 [INFO] [NoneStorage] - performing PUT at /40Q9F8/myobjects21
2024-03-06 16:47:33,088 [INFO] [NoneStorage] - performing PUT at /40Q9F9/myobjects22
2024-03-06 16:47:33,088 [INFO] [NoneStorage] - performing PUT at /40Q9F10/myobjects23
2024-03-06 16:47:33,092 [INFO] [NoneStorage] - performing PUT at /40Q9F11/myobjects24
