================================================== stage: s1-init ==================================================
---------------------------------- mission: ME1401F20DB, driver: driver1 ----------------------------------
2024-03-06 17:14:16,006 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/ME1401F20DB.log
2024-03-06 17:14:16,221 [INFO] [NoneStorage] - performing PUT at /RXHTD1
2024-03-06 17:14:16,222 [INFO] [NoneStorage] - performing PUT at /RXHTD6
2024-03-06 17:14:16,223 [INFO] [NoneStorage] - performing PUT at /RXHTD10
2024-03-06 17:14:16,223 [INFO] [NoneStorage] - performing PUT at /RXHTD9
2024-03-06 17:14:16,223 [INFO] [NoneStorage] - performing PUT at /RXHTD8
2024-03-06 17:14:16,223 [INFO] [NoneStorage] - performing PUT at /RXHTD7
2024-03-06 17:14:16,222 [INFO] [NoneStorage] - performing PUT at /RXHTD4
2024-03-06 17:14:16,222 [INFO] [NoneStorage] - performing PUT at /RXHTD5
2024-03-06 17:14:16,222 [INFO] [NoneStorage] - performing PUT at /RXHTD2
2024-03-06 17:14:16,222 [INFO] [NoneStorage] - performing PUT at /RXHTD3
2024-03-06 17:14:16,223 [INFO] [NoneStorage] - performing PUT at /RXHTD13
2024-03-06 17:14:16,223 [INFO] [NoneStorage] - performing PUT at /RXHTD12
2024-03-06 17:14:16,223 [INFO] [NoneStorage] - performing PUT at /RXHTD11
================================================== stage: s2-main ==================================================
---------------------------------- mission: MA14020F55F, driver: driver1 ----------------------------------
2024-03-06 17:14:23,006 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/MA14020F55F.log
2024-03-06 17:14:23,218 [INFO] [NoneStorage] - performing PUT at /RXHTD1/myobjects1
2024-03-06 17:14:23,221 [INFO] [NoneStorage] - performing PUT at /RXHTD5/myobjects5
2024-03-06 17:14:23,221 [INFO] [NoneStorage] - performing PUT at /RXHTD8/myobjects8
2024-03-06 17:14:23,221 [INFO] [NoneStorage] - performing PUT at /RXHTD6/myobjects6
2024-03-06 17:14:23,221 [INFO] [NoneStorage] - performing PUT at /RXHTD7/myobjects7
2024-03-06 17:14:23,220 [INFO] [NoneStorage] - performing PUT at /RXHTD4/myobjects4
2024-03-06 17:14:23,220 [INFO] [NoneStorage] - performing PUT at /RXHTD2/myobjects2
2024-03-06 17:14:23,220 [INFO] [NoneStorage] - performing PUT at /RXHTD3/myobjects3
2024-03-06 17:14:23,625 [INFO] [NoneStorage] - performing PUT at /RXHTD9/myobjects9
2024-03-06 17:14:23,672 [INFO] [NoneStorage] - performing PUT at /RXHTD10/myobjects10
2024-03-06 17:14:23,672 [INFO] [NoneStorage] - performing PUT at /RXHTD11/myobjects11
2024-03-06 17:14:23,696 [INFO] [NoneStorage] - performing PUT at /RXHTD12/myobjects12
2024-03-06 17:14:23,745 [INFO] [NoneStorage] - performing PUT at /RXHTD13/myobjects13
2024-03-06 17:14:23,803 [INFO] [NoneStorage] - performing PUT at /RXHTD1/myobjects14
