================================================== stage: s1-init ==================================================
---------------------------------- mission: M1140C728C2, driver: driver1 ----------------------------------
2024-03-06 17:25:44,005 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/M1140C728C2.log
2024-03-06 17:25:44,219 [INFO] [NoneStorage] - performing PUT at /85Q7W4
2024-03-06 17:25:44,221 [INFO] [NoneStorage] - performing PUT at /85Q7W13
2024-03-06 17:25:44,221 [INFO] [NoneStorage] - performing PUT at /85Q7W12
2024-03-06 17:25:44,221 [INFO] [NoneStorage] - performing PUT at /85Q7W11
2024-03-06 17:25:44,221 [INFO] [NoneStorage] - performing PUT at /85Q7W9
2024-03-06 17:25:44,221 [INFO] [NoneStorage] - performing PUT at /85Q7W10
2024-03-06 17:25:44,221 [INFO] [NoneStorage] - performing PUT at /85Q7W8
2024-03-06 17:25:44,220 [INFO] [NoneStorage] - performing PUT at /85Q7W7
2024-03-06 17:25:44,218 [INFO] [NoneStorage] - performing PUT at /85Q7W3
2024-03-06 17:25:44,219 [INFO] [NoneStorage] - performing PUT at /85Q7W6
2024-03-06 17:25:44,218 [INFO] [NoneStorage] - performing PUT at /85Q7W1
2024-03-06 17:25:44,218 [INFO] [NoneStorage] - performing PUT at /85Q7W2
2024-03-06 17:25:44,219 [INFO] [NoneStorage] - performing PUT at /85Q7W5
================================================== stage: s2-main ==================================================
---------------------------------- mission: MF140C8FD2A, driver: driver1 ----------------------------------
2024-03-06 17:25:51,007 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/MF140C8FD2A.log
2024-03-06 17:25:51,222 [INFO] [NoneStorage] - performing PUT at /85Q7W1/myobjects1
2024-03-06 17:25:51,225 [INFO] [NoneStorage] - performing PUT at /85Q7W5/myobjects5
2024-03-06 17:25:51,224 [INFO] [NoneStorage] - performing PUT at /85Q7W3/myobjects3
2024-03-06 17:25:51,225 [INFO] [NoneStorage] - performing PUT at /85Q7W11/myobjects11
2024-03-06 17:25:51,224 [INFO] [NoneStorage] - performing PUT at /85Q7W4/myobjects4
2024-03-06 17:25:51,223 [INFO] [NoneStorage] - performing PUT at /85Q7W2/myobjects2
2024-03-06 17:25:51,226 [INFO] [NoneStorage] - performing PUT at /85Q7W3/myobjects16
