================================================== stage: s1-init ==================================================
---------------------------------- mission: M11408BC424, driver: driver1 ----------------------------------
2024-03-06 17:21:41,007 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/M11408BC424.log
2024-03-06 17:21:41,220 [INFO] [NoneStorage] - performing PUT at /V4PVO1
2024-03-06 17:21:41,222 [INFO] [NoneStorage] - performing PUT at /V4PVO9
2024-03-06 17:21:41,222 [INFO] [NoneStorage] - performing PUT at /V4PVO7
2024-03-06 17:21:41,221 [INFO] [NoneStorage] - performing PUT at /V4PVO5
2024-03-06 17:21:41,221 [INFO] [NoneStorage] - performing PUT at /V4PVO6
2024-03-06 17:21:41,220 [INFO] [NoneStorage] - performing PUT at /V4PVO2
2024-03-06 17:21:41,221 [INFO] [NoneStorage] - performing PUT at /V4PVO4
2024-03-06 17:21:41,220 [INFO] [NoneStorage] - performing PUT at /V4PVO3
2024-03-06 17:21:41,222 [INFO] [NoneStorage] - performing PUT at /V4PVO13
2024-03-06 17:21:41,222 [INFO] [NoneStorage] - performing PUT at /V4PVO12
2024-03-06 17:21:41,222 [INFO] [NoneStorage] - performing PUT at /V4PVO11
2024-03-06 17:21:41,222 [INFO] [NoneStorage] - performing PUT at /V4PVO10
2024-03-06 17:21:41,222 [INFO] [NoneStorage] - performing PUT at /V4PVO8
================================================== stage: s2-main ==================================================
---------------------------------- mission: M91408D8AD7, driver: driver1 ----------------------------------
2024-03-06 17:21:48,006 [INFO] [Log4jLogManager] - will append log to file /root/0.4.2.c4/log/mission/M91408D8AD7.log
2024-03-06 17:21:48,224 [INFO] [NoneStorage] - performing PUT at /V4PVO1/myobjects1
2024-03-06 17:21:48,226 [INFO] [NoneStorage] - performing PUT at /V4PVO5/myobjects5
2024-03-06 17:21:48,227 [INFO] [NoneStorage] - performing PUT at /V4PVO7/myobjects7
2024-03-06 17:21:48,227 [INFO] [NoneStorage] - performing PUT at /V4PVO8/myobjects8
2024-03-06 17:21:48,227 [INFO] [NoneStorage] - performing PUT at /V4PVO9/myobjects9
2024-03-06 17:21:48,227 [INFO] [NoneStorage] - performing PUT at /V4PVO6/myobjects6
